Contract Start,Invoice Number,Client Name,Services,Addons,Type,Invoice Date,Service April MRR Amount(Rs),Addons MRR Amount(Rs),Total April MRR Amount(Service _ addons(Rs)),Payment Status,Client Status
01-May,GPPL/2025-26/14,Vip Industries Limited,Digital Marketing Services,"1.Digital Marketing Services YT content activity
2.Digital Marketing Services 24 Creators (Inclusive of Store Visit and 2 Month Usage Rights) with Agency Fees / Commission
3.Digital Marketing Services Social Media Promotions May 2025
",Retainer,01-May,"3,71,700","1,60,480 + 5,30,292 + 3,71,700","14,34,172",Paid,
01-May,GPPL/2025-26/12,TiE Delhi,"Digital Marketing Services
1.Marketing Promotions ľ iDay 2025
2.Website Revamp and Maintenance
3.Social Media Management for the conference ľ content creation, scheduling and posting
4.Branding Totality for the 2025th edition",,,01-May,"3,54,000.00",,"3,54,000.00",Paid,
01-May,GPPL/2025-26/9,NTPC Education and Research Society,"E-Content Development Services
Module 1: Introduction to the Ministry of Power (Level 3)
Module 2: Organisations Under Ministry of Power (Level 3)
Module 3: Division/ Section/ Cells/ Desks Under the Ministry (Level 3)
Module 4: Major Schemes of the Ministry & Recent Power Reforms (Level 3)

",,,01-May,"6,00,640.60",,"6,00,640.60",Paid,
01-May,GPPL/2025-26/9,The Computers India,"1.25 KVA/240V HYBRID INVERTER 3 P (2nd Generation)
2.CABLING + BOX + COUPLER + INSTALLATION
Panel 550 WT MONO HALF CUT NON DCR

",,,01-May,"11,83,515.22",,"11,83,515.22",Paid,
01-May,GPPL/2025-26/11,The Computers India,240V/200 AH LITHIUM BATTERY (20 KW Cell),,,01-May,"8,51,960",,"8,51,960",Paid,
,,,,,,,,,,,
